name,year,miles,color,condition,price
Toyota Corolla,2021,"18,446 miles","White exterior, Black interior","2 accidents reported, 1 Owner",19781
Chevrolet Camaro,2011,"138,514 miles","White exterior, Black interior","1 accident reported, 2 Owners",7000
Mercedes-Benz CLA,2020,"37,974 miles","Silver exterior, Beige interior","1 accident reported, 1 Owner",26374
Toyota Camry,2018,"13,411 miles","Black exterior, Black interior","1 accident reported, 1 Owner",24998
Volvo XC90,2016,"126,749 miles","Black exterior, Brown interior","No accidents reported, 3 Owners",19998
Subaru Outback,2024,"2,455 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",31999
Audi Q3,2021,"52,381 miles","White exterior, Black interior","No accidents reported, 1 Owner",22399
Lexus RX,2020,"37,965 miles","Black exterior, Black interior","No accidents reported, 1 Owner",35998
Lexus RC,2016,"74,595 miles","Silver exterior, Black interior","1 accident reported, 2 Owners",23888
Chevrolet Tahoe,2021,"21,756 miles","Black exterior, Black interior","No accidents reported, 2 Owners",62495
Toyota Corolla,2020,"46,357 miles","Black exterior, Black interior","1 accident reported, 2 Owners",16999
